b'Fav IPL team  \nRT.   : csk\nLike : MI \nCMt : RCB\n\n#ipl #Dhoni\n#BCCI #INDvsAUS #ViratKohli #RohitSharma #pandya\xe2\x80\xa6 https://t.co/t2V6ru9pXH'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: MSD polishes off yet another chase. \xf0\x9f\x91\x8fchampion stuff. #INDvsAUS'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @Barun18630181: GUYS GO AND WATCH THIS  EPIC TRAILER OF 22 YARDS\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x92\x9e\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 MOVIE WITH A MIND BLOWING  ACTING OF BARUN SOBTI.\n \n https:/\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
"b'RT @CricketNDTV: ""All-time greats"": Justin Langer lauds Virat Kohli, MS Dhoni\n\n#ViratKohli\n#MSDhoni\n#INDvsAUS\n\nREAD: https://t.co/0nqLENeu4\xe2\x80\xa6'"
b'RT @imsgshinde: So collected his scores according to the number of overs he had when he comes to the crease \n\nAfter 30th over -\n\xe2\x80\xa2 17 Inns -\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
b'RT @ashwinravi99: Just going through some batting numbers of @DineshKarthik over the last 18 months and its not surprising to see that he h\xe2\x80\xa6'
